Datum,sjh_tot,iva
2020-03-17T00:00:00Z,10,1
2020-03-19T00:00:00Z,23,4
2020-03-21T00:00:00Z,30,12
2020-03-22T00:00:00Z,33,8
2020-03-23T00:00:00Z,34,11
2020-03-24T00:00:00Z,31,12
2020-03-25T00:00:00Z,34,16
2020-03-26T00:00:00Z,36,19
2020-03-27T00:00:00Z,56,21
2020-03-28T00:00:00Z,56,24
2020-03-29T00:00:00Z,65,30
2020-03-30T00:00:00Z,71,36
2020-03-31T00:00:00Z,74,37
2020-04-01T00:00:00Z,85,44
2020-04-02T00:00:00Z,91,46
2020-04-03T00:00:00Z,92,40
2020-04-04T00:00:00Z,94,44
2020-04-05T00:00:00Z,100,42
2020-04-06T00:00:00Z,113,43
2020-04-07T00:00:00Z,119,44
2020-04-08T00:00:00Z,133,44
2020-04-09T00:00:00Z,126,49
2020-04-10T00:00:00Z,149,52
2020-04-11T00:00:00Z,183,62
2020-04-12T00:00:00Z,182,63
2020-04-13T00:00:00Z,180,66
2020-04-14T00:00:00Z,209,68
2020-04-15T00:00:00Z,198,71
2020-04-16T00:00:00Z,204,69
2020-04-17T00:00:00Z,234,66
2020-04-18T00:00:00Z,233,69
2020-04-19T00:00:00Z,245,67
2020-04-20T00:00:00Z,269,67
2020-04-21T00:00:00Z,263,67
2020-04-22T00:00:00Z,271,71
2020-04-23T00:00:00Z,291,79
2020-04-24T00:00:00Z,310,85
2020-04-25T00:00:00Z,326,91
2020-04-26T00:00:00Z,324,91
2020-04-27T00:00:00Z,347,84
2020-04-28T00:00:00Z,345,86
2020-04-29T00:00:00Z,342,91
2020-04-30T00:00:00Z,333,88
2020-05-01T00:00:00Z,332,90
2020-05-02T00:00:00Z,339,96
2020-05-03T00:00:00Z,350,94
2020-05-04T00:00:00Z,375,96
2020-05-05T00:00:00Z,362,96
2020-05-06T00:00:00Z,345,97
2020-05-07T00:00:00Z,338,91
2020-05-08T00:00:00Z,342,91
2020-05-09T00:00:00Z,332,89
2020-05-10T00:00:00Z,342,83
2020-05-11T00:00:00Z,347,86
2020-05-12T00:00:00Z,341,83
2020-05-13T00:00:00Z,330,89
2020-05-14T00:00:00Z,325,84
2020-05-15T00:00:00Z,297,76
2020-05-16T00:00:00Z,287,73
2020-05-17T00:00:00Z,296,76
2020-05-18T00:00:00Z,311,81
2020-05-19T00:00:00Z,303,79
2020-05-20T00:00:00Z,303,79
2020-05-21T00:00:00Z,285,77
2020-05-22T00:00:00Z,309,76
2020-05-23T00:00:00Z,301,66
2020-05-24T00:00:00Z,304,69
2020-05-25T00:00:00Z,322,73
2020-05-26T00:00:00Z,312,73
2020-05-27T00:00:00Z,297,65
2020-05-28T00:00:00Z,278,66
2020-05-29T00:00:00Z,285,67
2020-05-30T00:00:00Z,285,67
2020-05-31T00:00:00Z,302,68
2020-06-01T00:00:00Z,307,66
2020-06-02T00:00:00Z,288,65
2020-06-03T00:00:00Z,284,66
2020-06-04T00:00:00Z,279,62
2020-06-05T00:00:00Z,272,57
2020-06-06T00:00:00Z,249,61
2020-06-07T00:00:00Z,249,65
2020-06-08T00:00:00Z,254,65
2020-06-09T00:00:00Z,227,52
2020-06-10T00:00:00Z,228,57
2020-06-11T00:00:00Z,245,55
2020-06-12T00:00:00Z,235,52
2020-06-13T00:00:00Z,220,49
2020-06-14T00:00:00Z,215,50
2020-06-15T00:00:00Z,236,49
2020-06-16T00:00:00Z,233,48
2020-06-17T00:00:00Z,222,44
2020-06-18T00:00:00Z,210,47
2020-06-22T00:00:00Z,205,47
2020-06-23T00:00:00Z,210,43
2020-06-24T00:00:00Z,207,43
2020-06-25T00:00:00Z,195,40
2020-06-26T00:00:00Z,195,39
2020-06-29T00:00:00Z,185,37
2020-06-30T00:00:00Z,175,35
2020-07-01T00:00:00Z,174,33
2020-07-02T00:00:00Z,176,33
2020-07-03T00:00:00Z,169,37
2020-07-06T00:00:00Z,157,33
2020-07-07T00:00:00Z,158,30
2020-07-08T00:00:00Z,149,27
2020-07-09T00:00:00Z,137,27
2020-07-10T00:00:00Z,118,24
2020-07-13T00:00:00Z,107,23
2020-07-14T00:00:00Z,98,18
2020-07-15T00:00:00Z,88,17
2020-07-16T00:00:00Z,84,15
2020-07-17T00:00:00Z,71,15
2020-07-20T00:00:00Z,67,13
2020-07-21T00:00:00Z,71,13
2020-07-22T00:00:00Z,66,11
2020-07-23T00:00:00Z,58,11
2020-07-24T00:00:00Z,61,8
2020-07-27T00:00:00Z,60,8
2020-07-28T00:00:00Z,64,8
2020-07-29T00:00:00Z,60,7
2020-07-30T00:00:00Z,62,8
2020-07-31T00:00:00Z,62,8
2020-08-03T00:00:00Z,57,8
2020-08-04T00:00:00Z,57,9
2020-08-05T00:00:00Z,49,8
2020-08-06T00:00:00Z,46,9
2020-08-07T00:00:00Z,45,7
2020-08-10T00:00:00Z,52,7
2020-08-11T00:00:00Z,49,7
2020-08-12T00:00:00Z,58,7
2020-08-13T00:00:00Z,58,7
2020-08-14T00:00:00Z,52,6
2020-08-17T00:00:00Z,46,9
2020-08-18T00:00:00Z,48,7
2020-08-19T00:00:00Z,46,8
2020-08-20T00:00:00Z,47,8
2020-08-21T00:00:00Z,43,8
2020-08-24T00:00:00Z,48,8
2020-08-25T00:00:00Z,50,7
2020-08-26T00:00:00Z,50,7
2020-08-27T00:00:00Z,49,6
2020-08-28T00:00:00Z,41,6
2020-08-31T00:00:00Z,42,6
2020-09-01T00:00:00Z,41,5
2020-09-02T00:00:00Z,38,6
2020-09-03T00:00:00Z,34,4
2020-09-04T00:00:00Z,32,4
2020-09-07T00:00:00Z,35,3
2020-09-08T00:00:00Z,36,4
2020-09-09T00:00:00Z,38,4
2020-09-10T00:00:00Z,39,5
2020-09-11T00:00:00Z,40,4
2020-09-14T00:00:00Z,48,6
2020-09-15T00:00:00Z,46,7
2020-09-16T00:00:00Z,46,6
2020-09-17T00:00:00Z,46,7
2020-09-18T00:00:00Z,43,6
2020-09-21T00:00:00Z,41,4
2020-09-23T00:00:00Z,42,5
2020-09-25T00:00:00Z,43,5
2020-09-28T00:00:00Z,46,3
2020-09-30T00:00:00Z,39,3
2020-10-02T00:00:00Z,35,4
2020-10-05T00:00:00Z,29,4
2020-10-07T00:00:00Z,30,5
2020-10-09T00:00:00Z,30,6
2020-10-12T00:00:00Z,37,6
2020-10-14T00:00:00Z,29,6
2020-10-16T00:00:00Z,35,8
2020-10-19T00:00:00Z,53,6
2020-10-21T00:00:00Z,49,6
2020-10-23T00:00:00Z,47,4
2020-10-26T00:00:00Z,64,7
2020-10-28T00:00:00Z,82,8
2020-10-30T00:00:00Z,80,7
2020-11-02T00:00:00Z,96,9
2020-11-03T00:00:00Z,119,14
2020-11-04T00:00:00Z,124,16
2020-11-05T00:00:00Z,126,17
2020-11-06T00:00:00Z,127,18
2020-11-09T00:00:00Z,146,24
2020-11-10T00:00:00Z,157,28
2020-11-11T00:00:00Z,162,24
2020-11-12T00:00:00Z,171,25
2020-11-13T00:00:00Z,171,26
2020-11-16T00:00:00Z,202,29
2020-11-17T00:00:00Z,203,32
2020-11-18T00:00:00Z,212,35
2020-11-19T00:00:00Z,220,32
2020-11-20T00:00:00Z,223,32
2020-11-23T00:00:00Z,247,30
2020-11-24T00:00:00Z,236,27
2020-11-25T00:00:00Z,228,30
2020-11-26T00:00:00Z,229,34
2020-11-27T00:00:00Z,216,30
2020-11-30T00:00:00Z,239,37
2020-12-01T00:00:00Z,248,36
2020-12-02T00:00:00Z,251,37
2020-12-03T00:00:00Z,255,35
2020-12-04T00:00:00Z,260,29
2020-12-07T00:00:00Z,266,30
2020-12-08T00:00:00Z,288,32
2020-12-09T00:00:00Z,304,38
2020-12-10T00:00:00Z,304,35
2020-12-11T00:00:00Z,313,35
2020-12-14T00:00:00Z,355,33
2020-12-15T00:00:00Z,400,36
2020-12-16T00:00:00Z,412,41
2020-12-17T00:00:00Z,420,43
2020-12-18T00:00:00Z,407,42
2020-12-21T00:00:00Z,473,43
2020-12-23T00:00:00Z,484,46
2020-12-28T00:00:00Z,521,55
2020-12-30T00:00:00Z,506,62
